"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "XML", "PostCSS", "MySQL SQL", "comment", "blank", "total"
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_24_092855_create_centreanalytique_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 3, 6, 27
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_24_093302_create_affectationanalytique_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 3, 7, 30
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_30_135057_add_validation_fields_to_ligne_ecriture_table.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 4, 7, 43
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_10_07_052322_update_affectationanalytique_add_taux_and_drop_unique.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 2, 5, 27
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_10_11_145106_add_id_type_to_affectation_analytique.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 12, 7, 50
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_10_11_145148_remove_id_type_from_centre_analytique.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 12, 6, 39
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_10_13_182649_create_exercice_comptable_table.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 10, 6, 45
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_10_14_071048_create_durees_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 4, 30
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_10_14_071048_create_nature_comptables_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 4, 30
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_10_14_071048_create_type_categories_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 4, 30
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_10_14_071049_create_fonction_economiques_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 4, 30
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_10_14_071050_create_compte_categories_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 6, 4, 34
